pH                       	pressure                 	Cl-.tot                  	HCO3-.con                	CO3-2.con                	Na+.con                  	Na+.tot                  	CO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 13.3551742              	 1.00000000              	 3.06122449e-1           	 5.61576572e-5           	 9.99438422e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.93933709e-1           	 0.0                     	-9.97163230              	-11.4376323              	-4.43445813              	-1.40828395              	 1.11111111e-111         	 1.06749954e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.06749954e-10          	 5.61576572e-5           	 9.99438422e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3320751              	 1.00000000              	 3.26530612e-1           	 5.92234312e-5           	 9.99407764e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.73528611e-1           	 0.0                     	-9.92544852              	-11.3914485              	-4.41137344              	-1.40829837              	 1.11111111e-111         	 1.18727544e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.18727544e-10          	 5.92234312e-5           	 9.99407764e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3076785              	 1.00000000              	 3.46938776e-1           	 6.26432068e-5           	 9.99373567e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.53123868e-1           	 0.0                     	-9.87667138              	-11.3426714              	-4.38699291              	-1.40831445              	 1.11111111e-111         	 1.32839926e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.32839926e-10          	 6.26432068e-5           	 9.99373567e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.2818299              	 1.00000000              	 3.67346939e-1           	 6.64820421e-5           	 9.99335178e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.32719544e-1           	 0.0                     	-9.82499233              	-11.2909923              	-4.36116242              	-1.40833250              	 1.11111111e-111         	 1.49626208e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.49626208e-10          	 6.64820421e-5           	 9.99335178e-2           	 9.99999999e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.2543457              	 1.00000000              	 3.87755102e-1           	 7.08219734e-5           	 9.99291779e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.12315720e-1           	 0.0                     	-9.77004429              	-11.2360443              	-4.33369860              	-1.40835291              	 1.11111111e-111         	 1.69807049e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.69807049e-10          	 7.08219734e-5           	 9.99291779e-2           	 9.99999998e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.2250048              	 1.00000000              	 4.08163265e-1           	 7.57679389e-5           	 9.99242319e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.91912503e-1           	 0.0                     	-9.71138580              	-11.1773858              	-4.30438099              	-1.40837618              	 1.11111111e-111         	 1.94363273e-10          	 1.11111111e-111         	 1.11111111e-111         	 1.94363273e-10          	 7.57679389e-5           	 9.99242319e-2           	 9.99999998e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.1935383              	 1.00000000              	 4.28571429e-1           	 8.14563673e-5           	 9.99185434e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.71510028e-1           	 0.0                     	-9.64847954              	-11.1144795              	-4.27294123              	-1.40840293              	 1.11111111e-111         	 2.24657263e-10          	 1.11111111e-111         	 1.11111111e-111         	 2.24657263e-10          	 8.14563673e-5           	 9.99185434e-2           	 9.99999998e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.1596142              	 1.00000000              	 4.48979592e-1           	 8.80679439e-5           	 9.99119318e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.51108477e-1           	 0.0                     	-9.58066236              	-11.0466624              	-4.23904820              	-1.40843403              	 1.11111111e-111         	 2.62625952e-10          	 1.11111111e-111         	 1.11111111e-111         	 2.62625952e-10          	 8.80679439e-5           	 9.99119318e-2           	 9.99999997e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.1228161              	 1.00000000              	 4.69387755e-1           	 9.58471318e-5           	 9.99041525e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.30708093e-1           	 0.0                     	-9.50710272              	-10.9731027              	-4.20228667              	-1.40847062              	 1.11111111e-111         	 3.11098041e-10          	 1.11111111e-111         	 1.11111111e-111         	 3.11098041e-10          	 9.58471318e-5           	 9.99041525e-2           	 9.99999997e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.0826120              	 1.00000000              	 4.89795918e-1           	 1.05133021e-4           	 9.98948666e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.10309215e-1           	 0.0                     	-9.42673838              	-10.8927384              	-4.16212634              	-1.40851431              	 1.11111111e-111         	 3.74336020e-10          	 1.11111111e-111         	 1.11111111e-111         	 3.74336020e-10          	 1.05133021e-4           	 9.98948666e-2           	 9.99999996e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
