NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                            -5.00000000                                      2.00000003e-1                                   1.00000001e-1      
 300  -0.69897            13.699             -6.96802738e-1            X -1.21393026e-1       7.83948342e-1            X  3.86533481e-1      -52.0042364               X  1.32704918e-52     -8.22665769e-1            X  2.01584742e-1      -7.96556955               X  6.62887313e-1      
 300  -0.69897            13.699             -6.72524133e-1            X -1.48111125e-1       7.06641646e-1            X  4.33387043e-1      -53.0042364               X  1.33101149e-53     -8.22982717e-1            X  2.02039133e-1      -8.07814702               X  7.23980136e-1      
 300  -0.69897            13.699             -6.42901908e-1            X -1.81865851e-1       6.19964238e-1            X  4.95989679e-1      -54.0042364               X  1.33556867e-54     -8.23390543e-1            X  2.02540599e-1      -8.20294304               X  8.03094285e-1      
 300  -0.69897            13.699             -6.06528738e-1            X -2.25242555e-1       5.20766302e-1            X  5.83752235e-1      -55.0042364               X  1.34069126e-55     -8.23898662e-1            X  2.03079706e-1      -8.34356190               X  9.10444277e-1      
 300  -0.766229           13.699             -5.67943437e-1            X -2.73485330e-1       4.20766302e-1            X  6.94000988e-1      -55.8607642               X  1.87217493e-56     -8.24426232e-1            X  2.03556217e-1      -8.48239551               X  1.04172307         
 300  -0.84136            13.699             -5.28536386e-1            X -3.25768364e-1       3.20766302e-1            X  8.31779082e-1      -56.5812242               X  3.57438147e-57     -8.24938654e-1            X  2.03932524e-1      -8.61809028               X  1.20203092         
 300  -0.920008           13.699             -4.89371135e-1            X -3.81257921e-1       2.20766302e-1            X  1.00415423         -57.1823454               X  8.97607541e-58     -8.25411438e-1            X  2.04183410e-1      -8.75058110               X  1.39864183         
 300  -1.0018             13.699             -4.51403071e-1            X -4.38844189e-1       1.20766302e-1            X  1.21994589         -57.6802769               X  2.85633387e-58     -8.25828049e-1            X  2.04295028e-1      -8.87990803               X  1.64059983         
 300  -1.08634            13.699             -4.15430640e-1            X -4.97233960e-1       2.07663018e-2            X  1.49019542         -58.0901311               X  1.11236314e-58     -8.26180115e-1            X  2.04266709e-1      -9.00619230               X  1.93917311         
 300  -1.17324            13.699             -3.82063610e-1            X -5.55061356e-1      -7.92336982e-2            X  1.82876939         -58.4256576               X  5.13658213e-59     -8.26466434e-1            X  2.04110518e-1      -9.12961055               X  2.30843730         
 300  -1.26216            13.699             -3.51711978e-1            X -6.11007331e-1      -1.79233698e-1            X  2.25312565         -58.6990655               X  2.73485010e-59     -8.26691203e-1            X  2.03848635e-1      -9.25037139               X  2.76601911         
 300  -1.35279            13.699             -3.24593768e-1            X -6.63910682e-1      -2.79233698e-1            X  2.78527728         -58.9209794               X  1.63857713e-59     -8.26862016e-1            X  2.03509319e-1      -9.36869676               X  3.33403967         
 300  -1.44487            13.699             -3.00757338e-1            X -7.12853376e-1      -3.79233698e-1            X  3.45299915         -59.1004948               X  1.08205991e-59     -8.26988012e-1            X  2.03122515e-1      -9.48480870               X  4.04030621         
 300  -1.5382             13.699             -2.80112868e-1            X -7.57208666e-1      -4.79233698e-1            X  4.29133537         -59.2452964               X  7.73873889e-60     -8.27078441e-1            X  2.02716071e-1      -9.59892128               X  4.91981353         
 300  -1.63259            13.7721            -2.62467808e-1            X -7.96649024e-1      -5.79233698e-1            X  5.34448421         -59.3618103               X  5.90684512e-60     -8.27141733e-1            X  2.02313157e-1      -9.71123628               X  6.01663222         
 300  -1.72791            13.8625            -2.47561805e-1            X -8.31119352e-1      -6.79233698e-1            X  6.66816001         -59.4553647               X  4.75360871e-60     -8.27185014e-1            X  2.01931044e-1      -9.82194167               X  7.38628177         
 300  -1.82401            13.9542            -2.35097806e-1            X -8.60786568e-1      -7.79233698e-1            X  8.33255924         -59.5303479               X  3.99315151e-60     -8.27213973e-1            X  2.01581045e-1      -9.93121142               X  9.09871270         
 300  -1.92078            14.047             -2.24767408e-1            X -8.85978444e-1      -8.79233698e-1            X  10.4260915         -59.5903535               X  3.47261731e-60     -8.27232947e-1            X  2.01269250e-1      -10.0392060               X  11.2420552         
 300  -2.01812            14.1407            -2.16269703e-1            X -9.07122898e-1      -9.79233698e-1            X  13.0600771         -59.6383101               X  3.10546054e-60     -8.27245121e-1            X  2.00997639e-1      -10.1460730               X  13.9273330         
 300  -2.11595            14.2354            -2.09323934e-1            X -9.24695393e-1      -1.07923370               X  16.3746635         -59.6765947               X  2.84018535e-60     -8.27252760e-1            X  2.00765274e-1      -10.2519479               X  17.2943944         
 300  -2.21417            14.3308            -2.03676823e-1            X -9.39178177e-1      -1.17923370               X  20.5462783         -59.7071297               X  2.64479733e-60     -8.27257433e-1            X  2.00569373e-1      -10.3569540               X  21.5193751         
 300  -2.31273            14.4269            -1.99105785e-1            X -9.51031936e-1      -1.27923370               X  25.7970149         -59.7314650               X  2.49865501e-60     -8.27260204e-1            X  2.00406154e-1      -10.4612034               X  26.8240918         
 300  -2.41157            14.5236            -1.95419188e-1            X -9.60678443e-1      -1.37923370               X  32.4064528         -59.7508470               X  2.38799701e-60     -8.27261779e-1            X  2.00271452e-1      -10.5647971               X  33.4878672         
 300  -2.51063            14.6208            -1.92454721e-1            X -9.68491885e-1      -1.47923370               X  40.7265408         -59.7662761               X  2.30338375e-60     -8.27262616e-1            X  2.00161135e-1      -10.6678256               X  41.8624150         
 300  -2.60988            14.7184            -1.90076685e-1            X -9.74796383e-1      -1.57923370               X  51.2003347         -59.7785531               X  2.23817902e-60     -8.27263012e-1            X  2.00071343e-1      -10.7703691               X  52.3905803         
 300  -2.70927            14.8164            -1.88172798e-1            X -9.79867563e-1      -1.67923370               X  64.3855895         -59.7883186               X  2.18761807e-60     -8.27263151e-1            X  1.99998616e-1      -10.8724984               X  65.6299303         
 300  -2.80879            14.9148            -1.86650924e-1            X -9.83936466e-1      -1.77923370               X  80.9844597         -59.7960844               X  2.14821806e-60     -8.27263149e-1            X  1.99939944e-1      -10.9742757               X  82.2824545         
 300  -2.9084             15.0134            -1.85435955e-1            X -9.87194593e-1      -1.87923370               X  1.01880890e2       -59.8022584               X  2.11739441e-60     -8.27263075e-1            X  1.99892760e-1      -11.0757550               X  1.03231954e2       
 300  -3.00809            15.1122            -1.84466986e-1            X -9.89799272e-1      -1.97923370               X  1.28187687e2       -59.8071661               X  2.09320479e-60     -8.27262970e-1            X  1.99854909e-1      -11.1769830               X  1.29591115e2       
 300  -3.10785            15.2113            -1.83694837e-1            X -9.91878852e-1      -2.07923370               X  1.61305782e2       -59.8110666               X  2.07417418e-60     -8.27262857e-1            X  1.99824606e-1      -11.2779998               X  1.62760762e2       
 300  -3.20765            15.3105            -1.83079931e-1            X -9.93537467e-1      -2.17923370               X  2.02998832e2       -59.8141663               X  2.05917268e-60     -8.27262748e-1            X  1.99800386e-1      -11.3788398               X  2.04504466e2       
 300  -3.30749            15.4098            -1.82590501e-1            X -9.94859234e-1      -2.27923370               X  2.55487143e2       -59.8166294               X  2.04732869e-60     -8.27262650e-1            X  1.99781051e-1      -11.4795323               X  2.57042464e2       
 300  -3.40737            15.5093            -1.82201104e-1            X -9.95911867e-1      -2.37923370               X  3.21565908e2       -59.8185864               X  2.03796594e-60     -8.27262564e-1            X  1.99765633e-1      -11.5801019               X  3.23169891e2       
 300  -3.50727            15.6089            -1.81891397e-1            X -9.96749722e-1      -2.47923370               X  4.04754061e2       -59.8201413               X  2.03055729e-60     -8.27262491e-1            X  1.99753347e-1      -11.6805696               X  4.06405639e2       
 300  -3.60719            15.7085            -1.81645137e-1            X -9.97416342e-1      -2.57923370               X  5.09481675e2       -59.8213766               X  2.02469028e-60     -8.27262430e-1            X  1.99743564e-1      -11.7809529               X  5.11179746e2       
 300  -3.70713            15.8082            -1.81449366e-1            X -9.97946546e-1      -2.67923370               X  6.41325877e2       -59.8223580               X  2.02004120e-60     -8.27262380e-1            X  1.99735777e-1      -11.8812666               X  6.43069317e2       
 300  -3.80708            15.9079            -1.81293759e-1            X -9.98368137e-1      -2.77923370               X  8.07307851e2       -59.8231377               X  2.01635540e-60     -8.27262338e-1            X  1.99729582e-1      -11.9815229               X  8.09095522e2       
 300  -3.90704            16.0077            -1.81170093e-1            X -9.98703294e-1      -2.87923370               X  1.01626674e3       -59.8237570               X  2.01343212e-60     -8.27262305e-1            X  1.99724655e-1      -12.0817319               X  1.01809750e3       
 300  -4.00701            16.1076            -1.81071821e-1            X -9.98969692e-1      -2.97923370               X  1.27933037e3       -59.8242490               X  2.01111289e-60     -8.27262278e-1            X  1.99720738e-1      -12.1819022               X  1.28120307e3       
 300  -4.10698            16.2075            -1.80993736e-1            X -9.99181410e-1      -3.07923370               X  1.61050784e3       -59.8246398               X  2.00927244e-60     -8.27262256e-1            X  1.99717624e-1      -12.2820408               X  1.61242134e3       
 300  -4.20696            16.3073            -1.80931694e-1            X -9.99349652e-1      -3.17923370               X  2.02743556e3       -59.8249503               X  2.00781163e-60     -8.27262239e-1            X  1.99715148e-1      -12.3821534               X  2.02938872e3       
 300  -4.30695            16.4073            -1.80882403e-1            X -9.99483335e-1      -3.27923370               X  2.55231644e3       -59.8251969               X  2.00665198e-60     -8.27262224e-1            X  1.99713181e-1      -12.4822448               X  2.55430816e3       
 300  -4.40693            16.5072            -1.80843243e-1            X -9.99589551e-1      -3.37923370               X  3.21310230e3       -59.8253928               X  2.00573127e-60     -8.27262213e-1            X  1.99711618e-1      -12.5823189               X  3.21513147e3       
 300  -4.50692            16.6071            -1.80812133e-1            X -9.99673939e-1      -3.47923370               X  4.04498242e3       -59.8255484               X  2.00500021e-60     -8.27262204e-1            X  1.99710376e-1      -12.6823789               X  4.04704795e3       
 300  -4.60692            16.7071            -1.80787419e-1            X -9.99740982e-1      -3.57923370               X  5.09225742e3       -59.8256720               X  2.00441969e-60     -8.27262197e-1            X  1.99709389e-1      -12.7824275               X  5.09435826e3       
 300  -4.70691            16.807             -1.80767787e-1            X -9.99794243e-1      -3.67923370               X  6.41069853e3       -59.8257702               X  2.00395868e-60     -8.27262191e-1            X  1.99708605e-1      -12.8824668               X  6.41283364e3       
 300  -4.80691            16.907             -1.80752191e-1            X -9.99836554e-1      -3.77923370               X  8.07051755e3       -59.8258482               X  2.00359255e-60     -8.27262187e-1            X  1.99707982e-1      -12.9824986               X  8.07268590e3       
 300  -4.9069             17.007             -1.80739802e-1            X -9.99870165e-1      -3.87923370               X  1.01601059e4       -59.8259102               X  2.00330177e-60     -8.27262183e-1            X  1.99707488e-1      -13.0825242               X  1.01623065e4       
 300  -4.00699            16.207             -1.80641411e-1            X -9.99896843e-1      -3.97923370               X  1.27905252e4       -59.8264022               X  2.00099396e-60     -8.27262154e-1            X  1.99703556e-1      -14.0825242               X  1.61061663e3       
 300  -3.20697            15.4068            -1.80020556e-1            X -9.99917931e-1      -4.07923370               X  1.61002563e4       -59.8295068               X  1.98649255e-60     -8.27261970e-1            X  1.99678700e-1      -15.0825242               X  2.55265482e2       
 300  -2.40682            14.6059            -1.76101853e-1            X -9.99934167e-1      -4.17923370               X  2.02527824e4       -59.8491019               X  1.89733852e-60     -8.27260711e-1            X  1.99519804e-1      -16.0825242               X  40.4568460         
 300  -1.60592            14.4041            -1.51324541e-1            X -9.99944332e-1      -4.27923370               X  2.53571385e4       -59.9729966               X  1.41862148e-60     -8.27248812e-1            X  1.98433199e-1      -17.0825242               X  6.41197716         
 300  -0.800165           14.4798             7.09560361e-3            X -9.99932646e-1      -4.37923370               X  3.01830008e4       -60.7651414               X  2.16463454e-61     -8.27000585e-1            X  1.87726434e-1      -18.0825242               X  1.01622977         
 300  -0.69897            14.518              2.07082133e-1            X -9.99902255e-1      -4.47923370               X  3.29622364e4       -61.7651414               X  1.87775696e-62     -8.24545871e-1            X  1.63770224e-1      -18.2657702               X  1.05619939         
 300  -0.69897            14.5023             4.07062584e-1            X -9.99839381e-1      -4.57923370               X  3.17903077e4       -62.7651414               X  1.43852647e-63     -8.17299916e-1            X  1.27573178e-1      -18.4570100               X  1.07772012         
 300  -0.69897            14.4008             6.07030460e-1            X -9.99678460e-1      -4.67923370               X  2.51666490e4       -63.7651414               X  9.04583852e-65     -8.02814551e-1            X  8.29422309e-2      -18.6525541               X  1.08883465         
 300  -0.69897            14.1638             8.06966152e-1            X -9.99120666e-1      -4.77923370               X  1.45828424e4       -64.7651414               X  4.16356982e-66     -7.79402996e-1            X  4.02906513e-2      -18.8503210               X  1.09444762         
 300  -0.69897            13.7133             1.00679029               X -9.96068546e-1      -4.87923370               X  5.16734035e3       -65.7651414               X  1.17190096e-67     -7.47461126e-1            X  1.22059396e-2      -19.0492105               X  1.09724964         
 300  -4.71327            13.8132             1.00680956               X -9.96876514e-1      -4.97923370               X  6.50429050e3       -65.7652382               X  1.17145935e-67     -7.47457492e-1            X  1.22041609e-2      -19.0492298               X  1.73894621         
 300  -4.8132             13.9131             1.00682489               X -9.97518534e-1      -5.07923370               X  8.18741015e3       -65.7653151               X  1.17110851e-67     -7.47454604e-1            X  1.22027467e-2      -19.0492550               X  2.75588411         
 300  -4.91315            14.0131             1.00683707               X -9.98028654e-1      -5.17923370               X  1.03063316e4       -65.7653761               X  1.17082979e-67     -7.47452311e-1            X  1.22016226e-2      -19.0492874               X  4.36745573         
 300  -0.69897            13.699              1.20644280               X -9.80890662e-1      -5.27923370               X  1.68355445e3       -66.7653761               X  1.51920677e-69     -7.09892634e-1            X  1.72623687e-3      -19.9027786               X  9.69923237e-1      
 300  -4.22623            13.699              1.20650107               X -9.84807518e-1      -5.37923370               X  2.11788477e3       -66.7656731               X  1.51703342e-69     -7.09880857e-1            X  1.72499332e-3      -19.9028303               X  1.53704185         
 300  -4.3259             13.699              1.20654756               X -9.87923683e-1      -5.47923370               X  2.66466761e3       -66.7659092               X  1.51530429e-69     -7.09871495e-1            X  1.72400122e-3      -19.9028981               X  2.43566659         
 300  -4.42564            13.699              1.20658464               X -9.90402053e-1      -5.57923370               X  3.35302113e3       -66.7660969               X  1.51392904e-69     -7.09864055e-1            X  1.72321043e-3      -19.9029858               X  3.85949237         
 300  -4.52544            13.7793             1.20661418               X -9.92372669e-1      -5.67923370               X  4.21960267e3       -66.7662460               X  1.51283552e-69     -7.09858141e-1            X  1.72258056e-3      -19.9030979               X  6.11530418         
 300  -4.62527            13.9818             1.20663770               X -9.93939237e-1      -5.77923370               X  5.31056084e3       -66.7663645               X  1.51196621e-69     -7.09853442e-1            X  1.72207915e-3      -19.9032404               X  9.68892307         
 300  -4.72514            14.1833             1.20665641               X -9.95184400e-1      -5.87923370               X  6.68399315e3       -66.7664586               X  1.51127525e-69     -7.09849709e-1            X  1.72168017e-3      -19.9034210               X  15.3495251         
 300  -4.82504            14.3841             1.20667130               X -9.96173970e-1      -5.97923370               X  8.41303987e3       -66.7665334               X  1.51072612e-69     -7.09846742e-1            X  1.72136282e-3      -19.9036492               X  24.3145812         
 300  -4.92495            14.5844             1.20668314               X -9.96960331e-1      -6.07923370               X  1.05897790e4       -66.7665929               X  1.51028975e-69     -7.09844385e-1            X  1.72111046e-3      -19.9039370               X  38.5104836         
 300  -1.58445            13.9756             1.23263856               X -9.96385628e-1      -6.17923370               X  9.45443750e3       -66.8967656               X  7.93663287e-70     -7.04682282e-1            X  1.23514987e-3      -20.9039370               X  6.10350033         
 300  -4.97564            14.0756             1.23264910               X -9.97128519e-1      -6.27923370               X  1.19007194e4       -66.8968185               X  7.93452507e-70     -7.04680179e-1            X  1.23497820e-3      -20.9040005               X  9.67198185         
 300  -0.981002           13.699              1.33682069               X -9.85488367e-1      -6.37923370               X  2.99319070e3       -67.4191764               X  4.76128582e-71     -6.83914885e-1            X  2.58812809e-4      -21.9040005               X  1.53290582         
 300  -4.47613            13.699              1.33685361               X -9.88465511e-1      -6.47923370               X  3.76604288e3       -67.4193434               X  4.75672548e-71     -6.83908211e-1            X  2.58668367e-4      -21.9040484               X  2.42922421         
 300  -4.57589            13.699              1.33687986               X -9.90833085e-1      -6.57923370               X  4.73899932e3       -67.4194762               X  4.75309741e-71     -6.83902908e-1            X  2.58553260e-4      -21.9041102               X  3.84951267         
 300  -4.67569            13.7781             1.33690077               X -9.92715457e-1      -6.67923370               X  5.96387350e3       -67.4195817               X  4.75021196e-71     -6.83898693e-1            X  2.58461591e-4      -21.9041893               X  6.09995502         
 300  -4.77553            13.9807             1.33691741               X -9.94211781e-1      -6.77923370               X  7.50589443e3       -67.4196656               X  4.74791771e-71     -6.83895344e-1            X  2.58388627e-4      -21.9042899               X  9.66553789         
 300  -4.8754             14.1823             1.33693066               X -9.95401053e-1      -6.87923370               X  9.44718033e3       -67.4197322               X  4.74609389e-71     -6.83892683e-1            X  2.58330576e-4      -21.9044174               X  15.3143507         
 300  -4.9753             14.3831             1.33694119               X -9.96346167e-1      -6.97923370               X  1.18911118e4       -67.4197851               X  4.74464428e-71     -6.83890568e-1            X  2.58284405e-4      -21.9045784               X  24.2626113         
 300  -1.38314            13.8476             1.37817623               X -9.93214482e-1      -7.07923370               X  7.04081993e3       -67.6267164               X  1.38571258e-71     -6.75624006e-1            X  1.23812794e-4      -22.9045784               X  3.84536475         
 300  -4.84762            13.9475             1.37819034               X -9.94608437e-1      -7.17923370               X  8.86146816e3       -67.6267874               X  1.38511104e-71     -6.75621168e-1            X  1.23780094e-4      -22.9046316               X  6.09374597         
 300  -4.94751            14.0474             1.37820156               X -9.95716296e-1      -7.27923370               X  1.11535250e4       -67.6268438               X  1.38463285e-71     -6.75618912e-1            X  1.23754081e-4      -22.9046992               X  9.65643246         
 300  -0.980296           13.699              1.48239487               X -9.58428100e-1      -7.37923370               X  1.46091514e3       -68.1500516               X  4.31856716e-73     -6.54703550e-1            X  1.35110076e-5      -23.9046992               X  1.53044141         
 300  -4.16462            13.699              1.48246047               X -9.66920237e-1      -7.47923370               X  1.83623421e3       -68.1503939               X  4.30824617e-73     -6.54689860e-1            X  1.34897690e-5      -23.9047972               X  2.42503937         
 300  -4.26393            13.699              1.48251313               X -9.73686749e-1      -7.57923370               X  2.30870591e3       -68.1506662               X  4.30000297e-73     -6.54678969e-1            X  1.34727405e-5      -23.9049238               X  3.84230798         
 300  -4.36337            13.7772             1.48255531               X -9.79075031e-1      -7.67923370               X  2.90349100e3       -68.1508827               X  4.29342672e-73     -6.54670307e-1            X  1.34591142e-5      -23.9050859               X  6.08737530         
 300  -4.46292            13.9797             1.48258903               X -9.83363695e-1      -7.77923370               X  3.65226390e3       -68.1510549               X  4.28818501e-73     -6.54663419e-1            X  1.34482270e-5      -23.9052921               X  9.64325975         
 300  -4.56256            14.1811             1.48261595               X -9.86775784e-1      -7.87923370               X  4.59489946e3       -68.1511918               X  4.28401000e-73     -6.54657944e-1            X  1.34395389e-5      -23.9055534               X  15.2743440         
 300  -4.66228            14.3818             1.48263743               X -9.89489590e-1      -7.97923370               X  5.78159644e3       -68.1513007               X  4.28068648e-73     -6.54653591e-1            X  1.34326124e-5      -23.9058836               X  24.1898026         
