// The column headers in this file can be edited and determine the output for the next run.
Var: 	failed                   	gas_type                 	tot_nr_iter              	gas.gas                  	gas.logact               	H2O[g].con               	CO2[g].con               	tot_nr_iter              	molargasvolume           	pH                       	gas_val_u                	gasvolume                	gas_type                 	gas_res                  	gasvolume                	pressure                 	pressure_calc            	CO2[g].con               	C.gas                    	C.liter                  	C.tot                    	C.gas                    	CO2.con                  	CO3-2.con                	HCO3-.con                	
Data:	 0.0                     	 1.00000000              	 10.0000000              	 2.13846920e-1           	 0.0                     	 3.15559861e-2           	 1.82290934e-1           	 10.0000000              	 1.15919768e2            	 1.00000000              	 3.14023857e2            	 3.14023857e2            	 1.00000000              	 0.0                     	 3.14023857e2            	 2.13846920e-1           	 1.11111111e-111         	 1.82290934e-1           	 1.82290934e-1           	 6.17825599e-3           	 5.00000000e-1           	 1.82290934e-1           	 6.17682177e-3           	 2.85912228e-17          	 3.36080490e-8           	
Data:	 0.0                     	 1.00000000              	 8.00000000              	 3.12719166e-1           	 0.0                     	 3.15541845e-2           	 2.81164982e-1           	 8.00000000              	 79.2694793              	 1.00000000              	 1.38279177e2            	 1.38279177e2            	 1.00000000              	 0.0                     	 1.38279177e2            	 3.12719166e-1           	 1.11111111e-111         	 2.81164982e-1           	 2.81164982e-1           	 9.53049498e-3           	 5.00000000e-1           	 2.81164982e-1           	 9.52711109e-3           	 4.40964994e-17          	 5.18339936e-8           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 4.57305052e-1           	 0.0                     	 3.15515495e-2           	 4.25753502e-1           	 7.00000000              	 54.2068918              	 1.00000000              	 61.8221965              	 61.8221965              	 1.00000000              	 0.0                     	 61.8221965              	 4.57305052e-1           	 1.11111111e-111         	 4.25753502e-1           	 4.25753502e-1           	 1.44341273e-2           	 5.00000000e-1           	 4.25753502e-1           	 1.44264086e-2           	 6.67674631e-17          	 7.84829665e-8           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 6.68740305e-1           	 0.0                     	 3.15476954e-2           	 6.37192610e-1           	 7.00000000              	 37.0683287              	 1.00000000              	 27.8301833              	 27.8301833              	 1.00000000              	 0.0                     	 27.8301833              	 6.68740305e-1           	 1.11111111e-111         	 6.37192610e-1           	 6.37192610e-1           	 2.16081298e-2           	 5.00000000e-1           	 6.37192610e-1           	 2.15908992e-2           	 9.99135440e-17          	 1.17445091e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 9.77932769e-1           	 0.0                     	 3.15420575e-2           	 9.46390711e-1           	 7.00000000              	 25.3484557              	 1.00000000              	 12.5322393              	 12.5322393              	 1.00000000              	 0.0                     	 12.5322393              	 9.77932769e-1           	 1.11111111e-111         	 9.46390711e-1           	 9.46390711e-1           	 3.21058217e-2           	 5.00000000e-1           	 9.46390711e-1           	 3.20678962e-2           	 1.48370153e-16          	 1.74404225e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 1.43008054              	 0.0                     	 3.15338091e-2           	 1.39854674              	 7.00000000              	 17.3340484              	 1.00000000              	 5.60878543              	 5.60878543              	 1.00000000              	 0.0                     	 5.60878543              	 1.43008054              	 1.11111111e-111         	 1.39854674              	 1.39854674              	 4.74716375e-2           	 5.00000000e-1           	 1.39854674              	 4.73889389e-2           	 2.19199502e-16          	 2.57661751e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 2.09127911              	 0.0                     	 3.15217386e-2           	 2.05975737              	 7.00000000              	 11.8535519              	 1.00000000              	 2.47473267              	 2.47473267              	 1.00000000              	 0.0                     	 2.47473267              	 2.09127911              	 1.11111111e-111         	 2.05975737              	 2.05975737              	 6.99728761e-2           	 5.00000000e-1           	 2.05975737              	 6.97936747e-2           	 3.22710061e-16          	 3.79334897e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 3.05818320              	 0.0                     	 3.15040695e-2           	 3.02667913              	 7.00000000              	 8.10582095              	 1.00000000              	 1.06336525              	 1.06336525              	 1.00000000              	 0.0                     	 1.06336525              	 3.05818320              	 1.11111111e-111         	 3.02667913              	 3.02667913              	 1.02943930e-1           	 5.00000000e-1           	 3.02667913              	 1.02557254e-1           	 4.73935791e-16          	 5.57095507e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 4.47213595              	 0.0                     	 3.14781929e-2           	 4.44065776              	 7.00000000              	 5.54300802              	 1.00000000              	 4.35260063e-1           	 4.35260063e-1           	 1.00000000              	 0.0                     	 4.35260063e-1           	 4.47213595              	 1.11111111e-111         	 4.44065776              	 4.44065776              	 1.51301068e-1           	 5.00000000e-1           	 4.44065776              	 1.50469093e-1           	 6.94774459e-16          	 8.16683504e-7           	
Data:	 0.0                     	 1.00000000              	 7.00000000              	 6.53983058              	 0.0                     	 3.14402708e-2           	 6.50839031              	 7.00000000              	 3.79047823              	 1.00000000              	 1.61720711e-1           	 1.61720711e-1           	 1.00000000              	 0.0                     	 1.61720711e-1           	 6.53983058              	 1.11111111e-111         	 6.50839031              	 6.50839031              	 2.22319600e-1           	 5.00000000e-1           	 6.50839031              	 2.20533002e-1           	 1.01706105e-15          	 1.19551948e-6           	
Data:	 0.0                     	 1.00000000              	 10.0000000              	 9.56352500              	 0.0                     	 3.13846408e-2           	 9.53214036              	 10.0000000              	 2.59204482              	 1.00000000              	 4.70916111e-2           	 4.70916111e-2           	 1.00000000              	 0.0                     	 4.70916111e-2           	 9.56352500              	 1.11111111e-111         	 9.53214036              	 9.53214036              	 3.26822498e-1           	 5.00000000e-1           	 9.53214036              	 3.22991006e-1           	 1.48694650e-15          	 1.74785149e-6           	
Data:	 0.0                     	 1.00000000              	 8.00000000              	 13.9852263              	 0.0                     	 3.13029174e-2           	 13.9539233              	 8.00000000              	 1.77251944              	 1.00000000              	 2.40968978e-3           	 2.40968978e-3           	 1.00000000              	 0.0                     	 2.40968978e-3           	 13.9852263              	 1.11111111e-111         	 13.9539233              	 13.9539233              	 4.81030038e-1           	 5.00000000e-1           	 13.9539233              	 4.72820538e-1           	 2.17104970e-15          	 2.55198609e-6           	
Data:	 0.0                     	 1.00000000              	 8.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 8.00000000              	 1.21210295              	 1.00000000              	-5.92538124              	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 20.4513037              	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 8.28873028e-1           	 1.00000000              	-15.3810532              	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 29.9069756              	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 5.66808700e-1           	 1.00000000              	-29.2085605              	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 43.7344830              	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 3.87601107e-1           	 1.00000000              	-49.4292238              	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 63.9551462              	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 2.65053479e-1           	 1.00000000              	-78.9989224              	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 93.5248448              	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 1.81251667e-1           	 1.00000000              	-1.22240188e2            	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 1.36766110e2            	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
Data:	 0.0                     	 1.00000000              	 3.00000000              	 14.5259224              	 0.0                     	 3.12928936e-2           	 14.4946295              	 3.00000000              	 1.23945427e-1           	 1.00000000              	-1.85474078e2            	 0.0                     	 1.00000000              	 0.0                     	 0.0                     	 2.00000000e2            	 1.11111111e-111         	 14.4946295              	 14.4946295              	 5.00000000e-1           	 5.00000000e-1           	 14.4946295              	 4.91142051e-1           	 2.25445498e-15          	 2.65002532e-6           	
