NodeID: 0.0
 nr   logfactor           convergence         gas_val_u                   gas_res             I                           I.eq                pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             0.0                                             0.0                                             0.0                

 1.0  0.0                 12.999999999999833  2.92844424e-13           X  1.00000000          8.95285961e-8              -1.85903880e-18      7.04819076                  9.26442286e-23     -12.4164323                  3.83325651e-33     -21.2736234                  1.08775134e-22     
 97.0 0.0                 1.9449212120116264  1.46803632e-5               0.0                 8.95285962e-8               4.17540921e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  8.80889051e-12     -60.5123176                  6.27820401e-62     
 98.0 0.0                 1.9324445345789651  1.44709972e-5               0.0                 8.95285961e-8              -4.77647173e-19      7.04819076                  3.70576914e-22      4.36024063e-17           X  8.55942389e-12     -60.9471123                  2.30696364e-62     
 99.0 0.0                 1.920142020436742   1.42674777e-5               0.0                 8.95285961e-8              -4.77647173e-19      7.04819076                  0.0                 4.36024063e-17           X  8.32035814e-12     -61.3819069                  8.47707599e-63     
 100. 0.0                 1.9080089085906218  1.40695643e-5               0.0                 8.95285961e-8              -4.77647173e-19      7.04819076                  0.0                 4.36024063e-17           X  8.09112496e-12     -61.8167016                  3.11495231e-63     
 101. 0.0                 1.8960406297057857  1.38770294e-5               0.0                 8.95285961e-8              -6.33899605e-18      7.04819076                  0.0                 4.36024063e-17           X  7.87119424e-12     -62.2514963                  1.14460787e-63     
 102. 0.0                 1.8842327959930878  1.36896578e-5               0.0                 8.95285961e-8               1.63661324e-18      7.04819076                  0.0                 4.36024063e-17           X  7.66007102e-12     -62.6862910                  4.20593014e-64     
 103. 0.0                 1.872581191751699   1.35072454e-5               0.0                 8.95285961e-8               1.63661324e-18      7.04819076                  0.0                 4.36024063e-17           X  7.45729274e-12     -63.1210856                  1.54549421e-64     
 104. 0.0                 1.8610817645178834  1.33295987e-5               0.0                 8.95285961e-8               1.63661324e-18      7.04819076                  0.0                 4.36024063e-17           X  7.26242674e-12     -63.5558803                  5.67901097e-65     
 105. 0.0                 1.8497306167739953  1.31565343e-5               0.0                 8.95285961e-8               2.77932686e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  7.07506797e-12     -63.9906750                  2.08678657e-65     
 106. 0.0                 1.8385239981757822  1.29878777e-5               0.0                 8.95285961e-8               2.77932686e-22      7.04819076                  1.85288457e-22      4.36024063e-17           X  6.89483691e-12     -64.4254697                  7.66802217e-66     
