NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_res             pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             1.00000000e-2                                   1.00000000e-1      

 111. 0.0                 12.999956577158612 -1.08999614e2             X  9.99900020e-1       7.00000000               X -1.93312964e-5      -13.9000000               X  1.25892541e-34     -4.00008778               X  2.27270348e-5      
 112. 0.0                 12.999945336034745 -1.09999514e2             X  9.99874139e-1       7.00000000               X -2.43342918e-5      -13.8900000               X  1.28824955e-34     -3.90011051               X  2.86101445e-5      
 113. 0.0                 12.999931185557374 -1.10999388e2             X  9.99841561e-1       7.00000000               X -3.06319454e-5      -13.8800000               X  1.31825674e-34     -3.80013912               X  3.60156652e-5      
 114. 0.0                 12.99991337315711  -1.11999230e2             X  9.99800554e-1       7.00000000               X -3.85590418e-5      -13.8700000               X  1.34896288e-34     -3.70017514               X  4.53372762e-5      
 115. 0.0                 12.99989095183553  -1.12999030e2             X  9.99748939e-1       7.00000000               X -4.85367957e-5      -13.8600000               X  1.38038426e-34     -3.60022047               X  5.70702911e-5      
 116. 0.0                 12.999862730073946 -1.13998779e2             X  9.99683974e-1       7.00000000               X -6.10950819e-5      -13.8500000               X  1.41253754e-34     -3.50027754               X  7.18377989e-5      
 117. 0.0                 12.999827208919076 -1.14998463e2             X  9.99602213e-1       7.00000000               X -7.69003353e-5      -13.8400000               X  1.44543977e-34     -3.40034938               X  9.04234722e-5      
 118. 0.0                 12.999782503010882 -1.15998065e2             X  9.99499320e-1       7.00000000               X -9.67905373e-5      -13.8300000               X  1.47910839e-34     -3.30043981               X  1.13812708e-4      
 119. 0.0                 12.999726241530226 -1.16997565e2             X  9.99369846e-1       7.00000000               X -1.21819044e-4      -13.8200000               X  1.51356125e-34     -3.20055362               X  1.43244166e-4      
 120. 0.0                 12.999655444080933 -1.17996934e2             X  9.99206945e-1       7.00000000               X -1.53309422e-4      -13.8100000               X  1.54881662e-34     -3.10069686               X  1.80274251e-4      
 121. 0.0                 12.999566365354188 -1.18996141e2             X  9.99002018e-1       7.00000000               X -1.92923935e-4      -13.8000000               X  1.58489319e-34     -3.00087714               X  2.26857648e-4      
 122. 0.0                 12.99945430102576  -1.19995143e2             X  9.98744271e-1       7.00000000               X -2.42748916e-4      -13.7900000               X  1.62181010e-34     -2.90110399               X  2.85447713e-4      
