NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  -3.61939            13.6938            -1.00345248e-1            X -9.96970106e-1      -2.60000000               X  5.23910493e2       -30.7320873               X  2.43651634e-31     -4.34952324e-1            X  4.82952413e-1      -13.8372087               X  4.94139663         
 300  -3.71926            13.8929            -1.00154954e-1            X -9.97591617e-1      -2.70000000               X  6.59400650e2       -30.7320854               X  2.43638465e-31     -4.34949070e-1            X  4.82927806e-1      -13.8381519               X  7.81455951         
 300  -3.81915            14.0917            -1.00003666e-1            X -9.98085910e-1      -2.80000000               X  8.29972600e2       -30.7320839               X  2.43627987e-31     -4.34946481e-1            X  4.82908229e-1      -13.8393370               X  12.3514455         
 300  -3.91906            14.2902            -9.98834107e-2            X -9.98478925e-1      -2.90000000               X  1.04470992e3       -30.7320827               X  2.43619652e-31     -4.34944421e-1            X  4.82892658e-1      -13.8408252               X  19.5086998         
 300  -4.019              14.4884            -9.97878360e-2            X -9.98791351e-1      -3.00000000               X  1.31504816e3       -30.7320817               X  2.43613024e-31     -4.34942784e-1            X  4.82880276e-1      -13.8426926               X  30.7864721         
 300  -4.11894            14.686             -9.97118850e-2            X -9.99039673e-1      -3.10000000               X  1.65538382e3       -30.7320810               X  2.43607754e-31     -4.34941482e-1            X  4.82870433e-1      -13.8450337               X  48.5308641         
 300  -4.2189             14.8831            -9.96515341e-2            X -9.99237019e-1      -3.20000000               X  2.08384100e3       -30.7320804               X  2.43603566e-31     -4.34940447e-1            X  4.82862610e-1      -13.8479654               X  76.3986495         
 300  -4.31886            15.0794            -9.96035824e-2            X -9.99393838e-1      -3.30000000               X  2.62323662e3       -30.7320799               X  2.43600237e-31     -4.34939625e-1            X  4.82856392e-1      -13.8516316               X  1.20065692e2       
 300  -4.41884            15.2748            -9.95654847e-2            X -9.99518442e-1      -3.40000000               X  3.30229547e3       -30.7320795               X  2.43597591e-31     -4.34938971e-1            X  4.82851451e-1      -13.8562086               X  1.88296183e2       
 300  -4.51882            15.4691            -9.95352173e-2            X -9.99617443e-1      -3.50000000               X  4.15717989e3       -30.7320792               X  2.43595489e-31     -4.34938452e-1            X  4.82847525e-1      -13.8619106               X  2.94536563e2       
